rule,trivial,C,P,F,A,C_std,P_std,F_std,A_std,classification,computed
197,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
198,False,0.28,1.0,1.0,0.065,0.022,0.0,0.0,0.018,LIFE-LIKE,True
199,False,0.387,1.0,1.0,0.068,0.037,0.0,0.0,0.018,LIFE-LIKE,True
200,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
201,False,0.22,1.0,0.764,0.024,0.016,0.0,0.011,0.02,CRYSTALLIZED,True
202,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
203,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
204,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
205,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
206,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
207,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
208,False,0.34,1.0,0.577,0.203,0.043,0.0,0.052,0.012,LIFE-LIKE,True
209,False,0.497,1.0,0.501,0.183,0.049,0.0,0.111,0.012,LIFE-LIKE,True
210,False,0.547,1.0,0.593,0.283,0.005,0.0,0.07,0.003,LIFE-LIKE,True
211,False,0.623,1.0,0.477,0.184,0.017,0.0,0.007,0.028,LIFE-LIKE,True
212,False,0.26,0.75,0.854,0.211,0.028,0.041,0.0,0.016,LIFE-LIKE,True
213,False,0.373,0.867,0.876,0.215,0.005,0.125,0.125,0.013,LIFE-LIKE,True
214,False,0.39,0.967,0.412,0.195,0.043,0.024,0.044,0.018,LIFE-LIKE,True
215,False,0.497,0.967,0.293,0.177,0.077,0.024,0.056,0.03,LIFE-LIKE,True
216,False,0.237,1.0,0.517,0.009,0.026,0.0,0.184,0.002,CRYSTALLIZED,True
217,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
218,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
219,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
220,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
221,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
222,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
223,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
224,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
225,False,0.52,0.3,0.536,0.247,0.014,0.082,0.22,0.022,COMPUTING,True
226,False,0.51,0.967,0.844,0.429,0.043,0.024,0.097,0.022,LIFE-LIKE,True
227,False,0.633,0.833,0.797,0.361,0.049,0.143,0.147,0.057,LIFE-LIKE,True
228,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
229,False,0.363,1.0,0.486,0.157,0.017,0.0,0.02,0.011,LIFE-LIKE,True
230,False,0.337,1.0,0.329,0.182,0.05,0.0,0.035,0.029,LIFE-LIKE,True
231,False,0.477,1.0,0.455,0.181,0.061,0.0,0.062,0.04,LIFE-LIKE,True
232,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
233,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
234,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
235,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
236,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
237,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
238,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
239,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
240,False,0.53,1.0,0.621,0.26,0.022,0.0,0.085,0.061,LIFE-LIKE,True
241,False,0.667,1.0,0.555,0.23,0.052,0.0,0.049,0.03,LIFE-LIKE,True
242,False,0.65,1.0,0.649,0.325,0.016,0.0,0.031,0.01,LIFE-LIKE,True
243,False,0.747,1.0,0.656,0.231,0.025,0.0,0.076,0.03,LIFE-LIKE,True
244,False,0.43,1.0,0.419,0.203,0.054,0.0,0.029,0.022,LIFE-LIKE,True
245,False,0.47,1.0,0.577,0.204,0.022,0.0,0.103,0.03,LIFE-LIKE,True
246,False,0.493,1.0,0.192,0.166,0.045,0.0,0.087,0.029,LIFE-LIKE,True
247,False,0.59,1.0,0.205,0.134,0.059,0.0,0.057,0.029,LIFE-LIKE,True
248,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
249,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
250,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
251,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
252,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
253,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
254,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
255,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
